connector_id,has_standard,has_enhanced,variants,monthly_executions,active_workflows,active_organizations,adoption_trend,annual_recurring_revenue,pipeline_influence,expansion_opportunities,support_tickets,support_escalations,avg_resolution_hours,usage_score,revenue_score,support_score,composite_score,tier,sources,notes,sandbox_access_granted,credentials_provisioned,script_properties_standardized,security_approved
slack,true,true,slack|slack-enhanced,17400,1010,212,stable,1380000,760000,5,15,1,9.6,0.844,0.560,0.668,0.691,1,manifest|analytics,Analytics: High engagement from internal communications automation.,false,false,false,false
salesforce,true,true,salesforce|salesforce-enhanced,21800,1380,238,increasing,2480000,1350000,11,42,7,18.4,1.000,1.000,0.016,0.672,1,manifest|analytics,Analytics: Flagship CRM integration with sustained enterprise growth.,false,false,false,false
airtable,true,true,airtable|airtable-enhanced,12800,920,180,increasing,1450000,870000,6,18,2,11.5,0.672,0.615,0.563,0.617,1,manifest|analytics,Analytics: Top performer for marketing ops and RevOps teams.,false,false,false,false
jira,true,false,jira,15600,1140,204,increasing,1720000,960000,9,31,4,16.8,0.786,0.702,0.273,0.587,1,manifest|analytics,Analytics: Critical for enterprise IT workflows with high ARR influence.,false,false,false,false
hubspot,true,true,hubspot|hubspot-enhanced,9400,620,156,increasing,1120000,680000,7,22,2,12.1,0.543,0.478,0.521,0.514,1,manifest|analytics,Analytics: Strong co-selling motions with marketing automation teams.,false,false,false,false
asana,false,true,asana-enhanced,8600,540,124,increasing,890000,610000,4,24,3,14.2,0.458,0.405,0.421,0.428,2,manifest|analytics,Analytics: Strong pull from program management teams expanding automation coverage.,false,false,false,false
adobesign,true,false,adobesign,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
adp,true,false,adp,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
adyen,true,false,adyen,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
ansible,true,false,ansible,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
argocd,true,false,argocd,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
aws-cloudformation,true,false,aws-cloudformation,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
aws-codepipeline,true,false,aws-codepipeline,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
azure-devops,true,false,azure-devops,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
bamboohr,true,false,bamboohr,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
basecamp,true,false,basecamp,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
bigcommerce,true,false,bigcommerce,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
bigquery,true,false,bigquery,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
bitbucket,true,false,bitbucket,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
box,true,false,box,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
braze,true,false,braze,0,0,0,stable,0,0,0,0,0,0,0.000,0.000,1.000,0.333,2,manifest,,false,false,false,false
